date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:50	61591/61591	---M-Z	200	added ('OK')	text/html	etag:%22f097-5b7079c26dd00-gzip%22	https://gymove.dexignzone.com/xhtml/email-compose.html	F:/nabil/template/gymove.dexignzone.com/xhtml/email-compose.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:35:50	64994/64994	---M-Z	200	added ('OK')	text/html	etag:%22fde2-5b7079c361f40-gzip%22	https://gymove.dexignzone.com/xhtml/email-read.html	F:/nabil/template/gymove.dexignzone.com/xhtml/email-read.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:35:51	58907/58907	---M-Z	200	added ('OK')	text/html	etag:%22e61b-5b7079b607fc0-gzip%22	https://gymove.dexignzone.com/xhtml/app-calender.html	F:/nabil/template/gymove.dexignzone.com/xhtml/app-calender.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:35:51	64301/64301	---M-Z	200	added ('OK')	text/html	etag:%22fb2d-5b7079bf91640-gzip%22	https://gymove.dexignzone.com/xhtml/ecom-product-grid.html	F:/nabil/template/gymove.dexignzone.com/xhtml/ecom-product-grid.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:35:51	71120/71120	---M-Z	200	added ('OK')	text/html	etag:%22115d0-5b7079c085880-gzip%22	https://gymove.dexignzone.com/xhtml/ecom-product-list.html	F:/nabil/template/gymove.dexignzone.com/xhtml/ecom-product-list.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:35:51	63072/63072	---M-Z	200	added ('OK')	text/html	etag:%22f660-5b7079bf91640-gzip%22	https://gymove.dexignzone.com/xhtml/ecom-product-detail.html	F:/nabil/template/gymove.dexignzone.com/xhtml/ecom-product-detail.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:35:52	94213/94213	---M-Z	200	added ('OK')	text/html	etag:%2217005-5b7079c179ac0-gzip%22	https://gymove.dexignzone.com/xhtml/ecom-product-order.html	F:/nabil/template/gymove.dexignzone.com/xhtml/ecom-product-order.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:35:52	69257/69257	---M-Z	200	added ('OK')	text/html	etag:%2210e89-5b7079bcb4f80-gzip%22	https://gymove.dexignzone.com/xhtml/ecom-checkout.html	F:/nabil/template/gymove.dexignzone.com/xhtml/ecom-checkout.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:35:56	60945/60945	---M-Z	200	added ('OK')	text/html	etag:%22ee11-5b7079bda91c0-gzip%22	https://gymove.dexignzone.com/xhtml/ecom-invoice.html	F:/nabil/template/gymove.dexignzone.com/xhtml/ecom-invoice.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:35:56	107558/107558	---M-Z	200	added ('OK')	text/html	etag:%221a426-5b7079bda91c0-gzip%22	https://gymove.dexignzone.com/xhtml/ecom-customers.html	F:/nabil/template/gymove.dexignzone.com/xhtml/ecom-customers.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:36:00	58470/58470	---M-Z	200	added ('OK')	text/html	etag:%22e466-5b7079b8e4680-gzip%22	https://gymove.dexignzone.com/xhtml/chart-flot.html	F:/nabil/template/gymove.dexignzone.com/xhtml/chart-flot.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:36:00	56747/56747	---M-Z	200	added ('OK')	text/html	etag:%22ddab-5b7079b9d88c0-gzip%22	https://gymove.dexignzone.com/xhtml/chart-morris.html	F:/nabil/template/gymove.dexignzone.com/xhtml/chart-morris.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:36:01	61039/61039	---M-Z	200	added ('OK')	text/html	etag:%22ee6f-5b7079b7f0440-gzip%22	https://gymove.dexignzone.com/xhtml/chart-chartjs.html	F:/nabil/template/gymove.dexignzone.com/xhtml/chart-chartjs.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:36:02	66315/66315	---M-Z	200	added ('OK')	text/html	etag:%221030b-5b7079b6fc200-gzip%22	https://gymove.dexignzone.com/xhtml/chart-chartist.html	F:/nabil/template/gymove.dexignzone.com/xhtml/chart-chartist.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:36:02	58129/58129	---M-Z	200	added ('OK')	text/html	etag:%22e311-5b7079baccb00-gzip%22	https://gymove.dexignzone.com/xhtml/chart-sparkline.html	F:/nabil/template/gymove.dexignzone.com/xhtml/chart-sparkline.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:36:02	66389/66389	---M-Z	200	added ('OK')	text/html	etag:%2210355-5b7079baccb00-gzip%22	https://gymove.dexignzone.com/xhtml/chart-peity.html	F:/nabil/template/gymove.dexignzone.com/xhtml/chart-peity.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:36:02	1038644/1038644	---M--	200	added ('OK')	text/css	etag:%22fd934-5b7097f4e9b80%22	https://gymove.dexignzone.com/xhtml/css/style.css	F:/nabil/template/gymove.dexignzone.com/xhtml/css/style.css	(from https://gymove.dexignzone.com/xhtml/index.html)
08:36:03	103452/103452	---M-Z	200	added ('OK')	text/html	etag:%221941c-5b7079d580a00-gzip%22	https://gymove.dexignzone.com/xhtml/ui-accordion.html	F:/nabil/template/gymove.dexignzone.com/xhtml/ui-accordion.html	(from https://gymove.dexignzone.com/xhtml/index.html)
08:36:03	137425/137425	---M-Z	200	added ('OK')	text/html	etag:%22218d1-5b7079d674c40-gzip%22	https://gymove.dexignzone.com/xhtml/ui-alert.html	F:/nabil/template/gymove.dexignzone.com/xhtml/ui-alert.html	(from https://gymove.dexignzone.com/xhtml/index.html)
